place_id,longitude,latitude
606,12.4894212,55.7836855
848,12.496692300000001,55.7770971
897,12.505282699999999,55.7722454
902,12.506625999999999,55.7719959
906,12.5066352,55.7720019
947,12.5072053,55.7710921
1552,12.489341900000001,55.78376579999999
2462,12.5191357,55.783637600000006
2788,12.519438099999999,55.7836074
3646,12.507228999999999,55.771869099999996
3970,12.489331,55.783737699999996
4519,12.55799363,55.74251507
4953,12.5192093,55.78362190000001
8884,12.539717300000001,55.75389010000001
8884,12.539717300000001,55.75389010000001
8884,12.539717300000001,55.75389010000001
8943,12.5763265,55.6812353
23631,12.519202,55.7836436
23631,12.519202,55.7836436
23631,12.519202,55.7836436
23633,12.519202,55.7836436
